127.0.0.1 - - [13/Jun/2024:14:59:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:25 +0900] "GET /webproject/02/indexindex.html HTTP/1.1" 200 10888
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:25 +0900] "GET /webproject/css/header_footer.css HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:25 +0900] "GET /webproject/css/style.css HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:25 +0900] "GET /webproject/images/logo_black.png HTTP/1.1" 200 48356
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:25 +0900] "GET /webproject/images/icon_serch.png HTTP/1.1" 200 8350
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:25 +0900] "GET /webproject/css/common.css HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:25 +0900] "GET /webproject/images/icon-login.gif HTTP/1.1" 200 6235
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:36 +0900] "GET /webproject/02/indexindex.html HTTP/1.1" 200 10888
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:36 +0900] "GET /webproject/css/style.css HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:36 +0900] "GET /webproject/css/header_footer.css HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:36 +0900] "GET /webproject/css/common.css HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:36 +0900] "GET /webproject/images/logo_black.png HTTP/1.1" 200 48356
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:36 +0900] "GET /webproject/images/icon_serch.png HTTP/1.1" 200 8350
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:36 +0900] "GET /webproject/images/icon-login.gif HTTP/1.1" 200 6235
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:59:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2024:15:00:20 +0900] "GET /webproject/02/indexindex.html HTTP/1.1" 200 9093
0:0:0:0:0:0:0:1 - - [13/Jun/2024:16:14:36 +0900] "GET /webproject/02/indexindex.html HTTP/1.1" 200 11101
0:0:0:0:0:0:0:1 - - [13/Jun/2024:16:40:13 +0900] "GET /webproject/02/indexindex.html HTTP/1.1" 200 11094
0:0:0:0:0:0:0:1 - - [13/Jun/2024:16:46:09 +0900] "GET /webproject/02/indexindex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:16:48:00 +0900] "GET /webproject/02/indexindex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:16:48:01 +0900] "GET /webproject/02/indexindex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:16:48:02 +0900] "GET /webproject/02/indexindex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:18:50:37 +0900] "GET /webproject/02/indexindex.html HTTP/1.1" 200 10905
